wemID,eventName
350266958,1-252850535-14354-event
242882189,1-252850535-15158-event
934533305,1-252850535-19787-event
68191235,1-252850535-19868-event
884251857,4-2889285832-21311-event
383864185,4-2889285832-21327-event
347236994,4-2889285832-21336-event
600074867,4-2889285832-21349-event
527395855,4-2889285832-21371-event
729461412,4-2889285832-21404-event
331371546,4-2889285832-21419-event
448911708,4-2889285832-21467-event {r}
769639273,4-2889285832-21467-event {r}
68995629,4-2889285832-21543-event
289493342,4-2889285832-21562-event
560061415,4-2889285832-21587-event
1048817913,4-2889285832-21657-event {r}
966894251,4-2889285832-21657-event {r}
224844737,4-2889285832-21706-event
789931189,4-2889285832-22011-event
249861412,4-2889285832-22032-event
357983209,4-2889285832-22134-event
368398236,4-2889285832-22232-event
123242148,4-2889285832-22232-event
516566757,4-2889285832-22268-event {r}
702789650,4-2889285832-22268-event {r}
180624120,4-2889285832-22359-event {r}
711251207,4-2889285832-22359-event {r}
261608675,4-2889285832-22392-event
573547069,4-2889285832-22472-event
310693718,4-2889285832-22527-event {m}
590533170,4-2889285832-22527-event {m}
187251752,4-2889285832-22527-event {m}
527032,4-2889285832-22527-event {m}
662364337,4-2889285832-22527-event {m}
614717924,4-2889285832-22527-event {m}
816916526,4-2889285832-22527-event {m}
434406658,4-2889285832-22527-event {m}
237324575,4-2889285832-22527-event {m}
55527209,4-2889285832-22527-event {m}
564330866,4-2889285832-22527-event {m}
793765585,4-2889285832-22527-event {m}
33565052,4-2889285832-22527-event {m}
887564086,4-2889285832-22571-event
865532067,4-2889285832-22607-event
56265658,4-2889285832-22617-event
622784752,4-2889285832-22731-event
383353496,4-2889285832-22844-event
931981452,4-2889285832-22850-event
389022121,4-2889285832-22866-event
325260372,4-2889285832-22933-event [chr=kaine] {r}
545008560,4-2889285832-22933-event [chr=kaine] {r}
677642301,4-2889285832-22933-event [chr=kaine] {r}
446662050,4-2889285832-22933-event [chr=kaine] {r}
28177371,4-2889285832-22933-event [chr=kaine] {r}
60883624,4-2889285832-22933-event [chr=kaine] {r}
271401949,4-2889285832-22933-event [chr=kaine] {r}
325260372,4-2889285832-22933-event [chr=nier010] {r}
219629088,4-2889285832-22933-event [chr=nier010] {r}
545008560,4-2889285832-22933-event [chr=nier010] {r}
845420137,4-2889285832-22933-event [chr=nier010] {r}
446662050,4-2889285832-22933-event [chr=nier010] {r}
315696140,4-2889285832-22933-event [chr=nier010] {r}
1030069857,4-2889285832-22933-event [chr=nier010] {r}
325260372,4-2889285832-22933-event [chr=nier020] {r}
545008560,4-2889285832-22933-event [chr=nier020] {r}
688383718,4-2889285832-22933-event [chr=nier020] {r}
446662050,4-2889285832-22933-event [chr=nier020] {r}
178679680,4-2889285832-22933-event [chr=nier020] {r}
724705802,4-2889285832-22933-event [chr=nier020] {r}
554302875,4-2889285832-22933-event [chr=nier020] {r}
282469549,4-2889285832-22933-event [chr=nier030] {r}
325260372,4-2889285832-22933-event [chr=nier030] {r}
450312709,4-2889285832-22933-event [chr=nier030] {r}
545008560,4-2889285832-22933-event [chr=nier030] {r}
446662050,4-2889285832-22933-event [chr=nier030] {r}
831978551,4-2889285832-22933-event [chr=nier030] {r}
508899020,4-2889285832-22933-event [chr=nier030] {r}
263904052,4-2889285832-22933-event [chr=nier030] {r}
715010462,4-2889285832-22968-event
94916688,4-2889285832-22970-event
335300336,4-2889285832-23002-event
1062365179,4-2889285832-23053-event
720830384,4-2889285832-23077-event
666614911,4-2889285832-23077-event
331744500,4-2889285832-23090-event
364250142,4-2889285832-23094-event
486645057,4-2889285832-23104-event
603704451,4-2889285832-23123-event
395975644,4-2889285832-23129-event
338713435,4-2889285832-23129-event
1014541431,4-2889285832-23142-event
178603861,4-2889285832-23253-event
654476129,4-2889285832-23319-event {r}
729394534,4-2889285832-23319-event {r}
223816424,4-2889285832-23351-event
456146392,4-2889285832-23353-event
852186023,4-2889285832-23353-event
590216,4-2889285832-23392-event
934914298,4-2889285832-23454-event {r}
83046196,4-2889285832-23454-event {r}
434127082,4-2889285832-23511-event
795825445,4-2889285832-23537-event
413672892,4-2889285832-23541-event
777096598,4-2889285832-23655-event
94833321,4-2889285832-23685-event
398306997,4-2889285832-23721-event {r}
572701574,4-2889285832-23721-event {r}
61882797,4-2889285832-23721-event {r}
708141545,4-2889285832-23725-event {r}
1032024140,4-2889285832-23725-event {r}
199227779,4-2889285832-23914-event
844744929,4-2889285832-23922-event
812789139,4-2889285832-23989-event {r}
124216093,4-2889285832-23989-event {r}
883749120,4-2889285832-23993-event {r}
392805710,4-2889285832-23993-event {r}
253702536,4-2889285832-24007-event
912074932,4-2889285832-24043-event {r} {m}
576813482,4-2889285832-24043-event {r} {m}
695388699,4-2889285832-24043-event {r} {m}
619836312,4-2889285832-24043-event {r} {m}
953523990,4-2889285832-24043-event {r} {m}
339817801,4-2889285832-24043-event {r} {m}
631782995,4-2889285832-24043-event {r} {m}
1057653042,4-2889285832-24043-event {r} {m}
924295631,4-2889285832-24043-event {r} {m}
875546276,4-2889285832-24043-event {r} {m}
975012673,4-2889285832-24043-event {r} {m}
41287318,4-2889285832-24043-event {r} {m}
92660629,4-2889285832-24043-event {r} {m}
1033656087,4-2889285832-24043-event {r} {m}
869515579,4-2889285832-24043-event {r} {m}
470984326,4-2889285832-24043-event {r} {m}
407301485,4-2889285832-24043-event {r} {m}
11392450,4-2889285832-24043-event {r} {m}
574276020,4-2889285832-24043-event {r} {m}
795563543,4-2889285832-24043-event {r} {m}
219788533,4-2889285832-24043-event {r} {m}
773330742,4-2889285832-24043-event {r} {m}
23239838,4-2889285832-24043-event {r} {m}
201649083,4-2889285832-24043-event {r} {m}
137604694,4-2889285832-24043-event {r} {m}
389116952,4-2889285832-24043-event {r} {m}
743149079,4-2889285832-24043-event {r} {m}
296518726,4-2889285832-24043-event {r} {m}
214424376,4-2889285832-24043-event {r} {m}
316281603,4-2889285832-24043-event {r} {m}
638427682,4-2889285832-24043-event {r} {m}
291587121,4-2889285832-24043-event {r} {m}
992495040,4-2889285832-24043-event {r} {m}
320581559,4-2889285832-24043-event {r} {m}
831690040,4-2889285832-24043-event {r} {m}
156063242,4-2889285832-24043-event {r} {m}
702291387,4-2889285832-24043-event {r} {m}
445803990,4-2889285832-24043-event {r} {m}
1000190051,4-2889285832-24043-event {r} {m}
838785826,4-2889285832-24043-event {r} {m}
1020322900,4-2889285832-24043-event {r} {m}
819743299,4-2889285832-24043-event {r} {m}
1008942729,4-2889285832-24043-event {r} {m}
553722492,4-2889285832-24043-event {r} {m}
654799726,4-2889285832-24043-event {r} {m}
285130958,4-2889285832-24043-event {r} {m}
474515457,4-2889285832-24043-event {r} {m}
492230753,4-2889285832-24043-event {r} {m}
492836473,4-2889285832-24043-event {r} {m}
1027166220,4-2889285832-24043-event {r} {m}
557582678,4-2889285832-24043-event {r} {m}
144288424,4-2889285832-24043-event {r} {m}
222952954,4-2889285832-24043-event {r} {m}
1006893795,4-2889285832-24043-event {r} {m}
218476086,4-2889285832-24043-event {r} {m}
890632640,4-2889285832-24043-event {r} {m}
895719657,4-2889285832-24043-event {r} {m}
555530752,4-2889285832-24043-event {r} {m}
330474203,4-2889285832-24043-event {r} {m}
1040039959,4-2889285832-24043-event {r} {m}
747605692,4-2889285832-24043-event {r} {m}
507030940,4-2889285832-24043-event {r} {m}
938639534,4-2889285832-24043-event {r} {m}
67085165,4-2889285832-24043-event {r} {m}
1060756367,4-2889285832-24043-event {r} {m}
1047577143,4-2889285832-24043-event {r} {m}
536752677,4-2889285832-24043-event {r} {m}
110401494,4-2889285832-24043-event {r} {m}
448017325,4-2889285832-24043-event {r} {m}
30125977,4-2889285832-24043-event {r} {m}
352253938,4-2889285832-24043-event {r} {m}
16224142,4-2889285832-24043-event {r} {m}
103632679,4-2889285832-24043-event {r} {m}
386737781,4-2889285832-24043-event {r} {m}
161149503,4-2889285832-24043-event {r} {m}
763814407,4-2889285832-24043-event {r} {m}
64264845,4-2889285832-24043-event {r} {m}
8227803,4-2889285832-24043-event {r} {m}
521099428,4-2889285832-24043-event {r} {m}
915658825,4-2889285832-24043-event {r} {m}
583787088,4-2889285832-24043-event {r} {m}
1002569911,4-2889285832-24120-event
53323451,4-2889285832-24277-event
924769192,4-2889285832-24315-event
971718084,4-2889285832-24389-event
506319397,4-2889285832-24398-event
783870496,4-2889285832-24438-event
691686795,4-2889285832-24613-event
685848769,4-2889285832-24638-event
745655698,4-2889285832-24653-event
741436819,4-2889285832-24701-event
410491498,4-2889285832-24794-event {r}
863192768,4-2889285832-24794-event {r}
503946943,4-2889285832-24800-event {r}
355611123,4-2889285832-24800-event {r}
209344990,4-2889285832-24807-event {r}
522088882,4-2889285832-24807-event {r}
185909439,4-2889285832-24812-event
892369585,4-2889285832-24816-event
394312545,4-2889285832-24841-event
103719199,4-2889285832-24929-event
461656958,4-2889285832-24941-event
1039473507,4-2889285832-24961-event
567784567,4-2889285832-25025-event
226384135,4-2889285832-25042-event
1042004631,4-2889285832-25044-event {r}
668805287,4-2889285832-25044-event {r}
590587941,4-2889285832-25060-event {r}
708783848,4-2889285832-25060-event {r}
643874449,4-2889285832-25071-event
907642452,4-2889285832-25123-event
532942758,4-2889285832-25168-event
842224793,4-2889285832-25211-event {r}
82820710,4-2889285832-25211-event {r}
875476770,4-2889285832-25237-event [460310441=down] [20433824=carpet] [157611648=nierges] {r}
888437117,4-2889285832-25237-event [460310441=down] [20433824=carpet] [157611648=nierges] {r}
123046391,4-2889285832-25237-event [460310441=down] [20433824=carpet] [157611648=nierges] {r}
701710453,4-2889285832-25237-event [460310441=down] [20433824=carpet] [157611648=nierges] {r}
317897048,4-2889285832-25237-event [460310441=down] [20433824=carpet] [157611648=nierges] {r}
336772321,4-2889285832-25237-event [460310441=down] [20433824=carpet] [157611648=nierges] {r}
178156658,4-2889285832-25237-event [460310441=down] [20433824=carpet] [157611648=nierges] {r}
205369437,4-2889285832-25237-event [460310441=down] [20433824=carpet] [157611648=nierges] {r}
922289738,4-2889285832-25237-event [460310441=down] [20433824=carpet] [157611648=nierges] {r}
443762065,4-2889285832-25237-event [460310441=down] [20433824=carpet] [157611648=nierges] {r}
736165913,4-2889285832-25237-event [460310441=down] [20433824=carpet] [157611648=nierges] {r}
503911005,4-2889285832-25237-event [460310441=down] [20433824=carpet] [157611648=nierges] {r}
927224305,4-2889285832-25237-event [460310441=down] [20433824=carpet] [157611648=nierges] {r}
860634363,4-2889285832-25237-event [460310441=down] [20433824=carpet] [157611648=nierges] {r}
41441201,4-2889285832-25237-event [460310441=down] [20433824=carpet] [157611648=nierges] {r}
904057216,4-2889285832-25237-event [460310441=down] [20433824=carpet] [157611648=nierges] {r}
291356864,4-2889285832-25237-event [460310441=down] [20433824=fence] [157611648=nierges] {r}
106812049,4-2889285832-25237-event [460310441=down] [20433824=fence] [157611648=nierges] {r}
1012935724,4-2889285832-25237-event [460310441=down] [20433824=fence] [157611648=nierges] {r}
593312318,4-2889285832-25237-event [460310441=down] [20433824=fence] [157611648=nierges] {r}
453362363,4-2889285832-25237-event [460310441=down] [20433824=fence] [157611648=nierges] {r}
1022982828,4-2889285832-25237-event [460310441=down] [20433824=fence] [157611648=nierges] {r}
537427754,4-2889285832-25237-event [460310441=down] [20433824=fence] [157611648=nierges] {r}
645642077,4-2889285832-25237-event [460310441=down] [20433824=fence] [157611648=nierges] {r}
1002914801,4-2889285832-25237-event [460310441=down] [20433824=fence] [157611648=nierges] {r}
289199177,4-2889285832-25237-event [460310441=down] [20433824=fence] [157611648=nierges] {r}
327790563,4-2889285832-25237-event [460310441=down] [20433824=fence] [157611648=nierges] {r}
13856824,4-2889285832-25237-event [460310441=down] [20433824=fence] [157611648=nierges] {r}
293210546,4-2889285832-25237-event [460310441=down] [20433824=fence] [157611648=nierges] {r}
1058347948,4-2889285832-25237-event [460310441=down] [20433824=fence] [157611648=nierges] {r}
627296397,4-2889285832-25237-event [460310441=down] [20433824=fence] [157611648=nierges] {r}
481238958,4-2889285832-25237-event [460310441=down] [20433824=fence] [157611648=nierges] {r}
291356864,4-2889285832-25237-event [460310441=down] [20433824=fence] [157611648=nierman] {r}
106812049,4-2889285832-25237-event [460310441=down] [20433824=fence] [157611648=nierman] {r}
1012935724,4-2889285832-25237-event [460310441=down] [20433824=fence] [157611648=nierman] {r}
593312318,4-2889285832-25237-event [460310441=down] [20433824=fence] [157611648=nierman] {r}
1022982828,4-2889285832-25237-event [460310441=down] [20433824=fence] [157611648=nierman] {r}
453362363,4-2889285832-25237-event [460310441=down] [20433824=fence] [157611648=nierman] {r}
537427754,4-2889285832-25237-event [460310441=down] [20433824=fence] [157611648=nierman] {r}
289199177,4-2889285832-25237-event [460310441=down] [20433824=fence] [157611648=nierman] {r}
327790563,4-2889285832-25237-event [460310441=down] [20433824=fence] [157611648=nierman] {r}
1002914801,4-2889285832-25237-event [460310441=down] [20433824=fence] [157611648=nierman] {r}
645642077,4-2889285832-25237-event [460310441=down] [20433824=fence] [157611648=nierman] {r}
1058347948,4-2889285832-25237-event [460310441=down] [20433824=fence] [157611648=nierman] {r}
293210546,4-2889285832-25237-event [460310441=down] [20433824=fence] [157611648=nierman] {r}
13856824,4-2889285832-25237-event [460310441=down] [20433824=fence] [157611648=nierman] {r}
627296397,4-2889285832-25237-event [460310441=down] [20433824=fence] [157611648=nierman] {r}
481238958,4-2889285832-25237-event [460310441=down] [20433824=fence] [157611648=nierman] {r}
616692773,4-2889285832-25237-event [460310441=down] [20433824=grass] [157611648=nierboy] {r}
109950558,4-2889285832-25237-event [460310441=down] [20433824=grass] [157611648=nierboy] {r}
459639760,4-2889285832-25237-event [460310441=down] [20433824=grass] [157611648=nierboy] {r}
737011209,4-2889285832-25237-event [460310441=down] [20433824=grass] [157611648=nierboy] {r}
988092297,4-2889285832-25237-event [460310441=down] [20433824=grass] [157611648=nierboy] {r}
1007673527,4-2889285832-25237-event [460310441=down] [20433824=grass] [157611648=nierboy] {r}
973896817,4-2889285832-25237-event [460310441=down] [20433824=grass] [157611648=nierboy] {r}
76866900,4-2889285832-25237-event [460310441=down] [20433824=grass] [157611648=nierboy] {r}
667705303,4-2889285832-25237-event [460310441=down] [20433824=grass] [157611648=nierboy] {r}
30756708,4-2889285832-25237-event [460310441=down] [20433824=grass] [157611648=nierboy] {r}
608612175,4-2889285832-25237-event [460310441=down] [20433824=grass] [157611648=nierboy] {r}
906250575,4-2889285832-25237-event [460310441=down] [20433824=grass] [157611648=nierboy] {r}
808130840,4-2889285832-25237-event [460310441=down] [20433824=grass] [157611648=nierboy] {r}
707485815,4-2889285832-25237-event [460310441=down] [20433824=grass] [157611648=nierboy] {r}
284514495,4-2889285832-25237-event [460310441=down] [20433824=grass] [157611648=nierboy] {r}
748906510,4-2889285832-25237-event [460310441=down] [20433824=grass] [157611648=nierboy] {r}
459661384,4-2889285832-25237-event [460310441=down] [20433824=gravel] [157611648=nierges] {r}
1060432482,4-2889285832-25237-event [460310441=down] [20433824=gravel] [157611648=nierges] {r}
148735295,4-2889285832-25237-event [460310441=down] [20433824=gravel] [157611648=nierges] {r}
396197739,4-2889285832-25237-event [460310441=down] [20433824=gravel] [157611648=nierges] {r}
75074196,4-2889285832-25237-event [460310441=down] [20433824=gravel] [157611648=nierges] {r}
632605674,4-2889285832-25237-event [460310441=down] [20433824=gravel] [157611648=nierges] {r}
942935191,4-2889285832-25237-event [460310441=down] [20433824=gravel] [157611648=nierges] {r}
58418588,4-2889285832-25237-event [460310441=down] [20433824=gravel] [157611648=nierges] {r}
696932253,4-2889285832-25237-event [460310441=down] [20433824=gravel] [157611648=nierges] {r}
687310842,4-2889285832-25237-event [460310441=down] [20433824=gravel] [157611648=nierges] {r}
951691045,4-2889285832-25237-event [460310441=down] [20433824=gravel] [157611648=nierges] {r}
373091389,4-2889285832-25237-event [460310441=down] [20433824=gravel] [157611648=nierges] {r}
543299154,4-2889285832-25237-event [460310441=down] [20433824=gravel] [157611648=nierges] {r}
236077892,4-2889285832-25237-event [460310441=down] [20433824=gravel] [157611648=nierges] {r}
121221999,4-2889285832-25237-event [460310441=down] [20433824=gravel] [157611648=nierges] {r}
777159431,4-2889285832-25237-event [460310441=down] [20433824=gravel] [157611648=nierges] {r}
459661384,4-2889285832-25237-event [460310441=down] [20433824=gravel] [157611648=nierman] {r}
1060432482,4-2889285832-25237-event [460310441=down] [20433824=gravel] [157611648=nierman] {r}
148735295,4-2889285832-25237-event [460310441=down] [20433824=gravel] [157611648=nierman] {r}
396197739,4-2889285832-25237-event [460310441=down] [20433824=gravel] [157611648=nierman] {r}
75074196,4-2889285832-25237-event [460310441=down] [20433824=gravel] [157611648=nierman] {r}
632605674,4-2889285832-25237-event [460310441=down] [20433824=gravel] [157611648=nierman] {r}
58418588,4-2889285832-25237-event [460310441=down] [20433824=gravel] [157611648=nierman] {r}
942935191,4-2889285832-25237-event [460310441=down] [20433824=gravel] [157611648=nierman] {r}
696932253,4-2889285832-25237-event [460310441=down] [20433824=gravel] [157611648=nierman] {r}
687310842,4-2889285832-25237-event [460310441=down] [20433824=gravel] [157611648=nierman] {r}
951691045,4-2889285832-25237-event [460310441=down] [20433824=gravel] [157611648=nierman] {r}
373091389,4-2889285832-25237-event [460310441=down] [20433824=gravel] [157611648=nierman] {r}
543299154,4-2889285832-25237-event [460310441=down] [20433824=gravel] [157611648=nierman] {r}
